what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1380083130356
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1380083130356
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1380083130356
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1380083130356
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1380083130356
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1380083130356
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1380083130356
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1380083130356
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1380083130356
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1380083130356
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1380083130356
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1380083130356
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1380083130356
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1380083130356
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1380083130356
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1380083130356
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1380083130356
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1380083130356
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1380083130356
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1380083130356
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1380083130356
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1380083130371
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1380083130371
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1380083130371
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1380083130371
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1380083130371
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1380083130371
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1380083130371
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1380083130371
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1380083130371
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1380083130371
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1380083130371
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1380083130371
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1380083130371
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1380083130371
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1380083130371
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1380083130371
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1380083130371
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1380083130371
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1380083130371
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1380083130371
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1380083130371
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1380083130371
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1380083130371
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1380083130371
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1380083130371
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1380083130371
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1380083130387
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1380083130387
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1380083130387
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1380083130403
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1380083130403
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1380083130403
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1380083130403
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1380083130403
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1380083130403
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1380083130403
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1380083130403
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1380083130403
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1380083130403
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1380083130403
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1380083130403
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1380083130403
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1380083130403
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1380083130403
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1380083130403
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1380083130403
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1380083130403
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1380083130403
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1380083130403
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1380083130403
os,sysinfo,,,"win32",1380083130403
arch,sysinfo,,,"x86",1380083130403
ws,sysinfo,,,"win32",1380083130403
locale,sysinfo,,,"zh_CN",1380083130403
processors,sysinfo,,,"2",1380083130403
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380083130403
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1380083130403
java.specification.name,sysinfo,,,"Java Platform API Specification",1380083130403
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380083130403
java.specification.version,sysinfo,,,"1.6",1380083130403
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1380083130403
java.version,sysinfo,,,"1.6.0_23",1380083130403
java.vm.info,sysinfo,,,"mixed mode",1380083130403
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1380083130403
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380083130403
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380083130403
java.vm.specification.version,sysinfo,,,"1.0",1380083130403
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1380083130403
java.vm.version,sysinfo,,,"19.0-b09",1380083130403
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380083130808
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1380083131027
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1380083131058
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1380083131495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083134443
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1380083135020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083137469
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1380083137563
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1380083137563
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1380083137563
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1380083137563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083137579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083138265
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1380083139045
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1380083139045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083142196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083145082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083147897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083151860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083152421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083155307
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1380083155479
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1380083156602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083158958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083278872
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380083278935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083287733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380083298388
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380083299901
